,CleanedText,Type,Rating
0,okay so heres the deal id previously phoned bt to enquire about a second line into the house emphasis on enquire straight off the bat i was treated like an idiot for asking questions that were supposedly answered on the website when in truth the information on the website was unclear and contradictory to what id been told by an online chat advisor after i explained this the staff member then tried to bulldoze me into arranging an engineer visit that may or may not have cost me money at which point i that it was an enquiry and i was hung up on a few months and fibre optic internet has finally arrived in our area bt as usual are running a deal online a month for months plus other service charges i reasonably assumed that this will change in year so i phoned up to ask again im met with short aggravated replies telling me that its on the website and they dont have access to online deals i ask what the price is he replies what do you mean whats the price with an attitude suddenly he figures out that im starting to realize that the price might be more expensive in the long run than just staying with my current provider and he mysteriously gains access to the online prices that hed just rudely told me he knew nothing about and was unable to handle and starts to try and corner me into booking there and then on the phone i bailed phoned sky who offered me a cheaper deal with no fee the lady i spoke to was friendly polite chatty and super helpful gave me all the info i needed even though some of it was super obvious thats what customer service is about bt act like theyre still the only choice thats just not the case any more fix your attitude,Bad,1.0
1,signed up for virgin after being told our estate was eligible for fibre broadband our original installation date was the nd december on that date the engineer turned up to find out she wasnt able to install the service due to the external work not being completed leaving us with no internet at all we have been using a mobile dongle for the past months while we have been messed around on a weekly basis we have been waiting for the blockage in the road to be cleared and reassured it was being worked on to be told today our property is due to the cost but have been contacted since to rearrange the installation appointment the communication is horrendous both externally and internally absolutely avoid at all costs and dont ignore the ridiculously high number of bad reviews unless you enjoy being messed around,Bad,1.0
2,ordered on st of dec since then my internet is not working thrice the engineers has not turned up on the given appointment dates and times and when they come they donot escalate the issue and telling me the same issue as of of dec date customer service has been awful they donot bother to followup on the case overall vodafone has not its commitments of turning up at my address when they said they have not provided service yet they left me without broadband since st of dec untill today i have suffered from financial loss since i have vodafone to provide me service,Bad,1.0
3,the worst internet provider i have ever experienced internet hasnt worked for weeks contract ending in week tried to cancel yesterday was told i had to pay to breach contract plus pay other fees and my monthly contract on top of that even though internet hasnt been working said they will send an engineer in weeks after contract ends disgustingly bad service spent on the phone for them for over hours and nobody had a clue what was going on cant even claim compensation because the internet isnt working how is this allowed to happen,Bad,1.0
4,absolutely awful they are complete morons avoid at all cost,Bad,1.0
5,i dont have a stable internet connection i looked for help in the app but when i got to explaining which lights were flashing there was not my option two green lights flashing alternatively sometimes i dont have problems for weeks but now im having every day its very annoying mostly because assistance is too hard to reach,Bad,1.0
6,total bandits avoid at all tariffs customer service who talk over you customer service numbers you cant call unless you all makes for the worst mobile phone experience ive ever encountered,Bad,1.0
7,complete shambles i wasnt given the service i was promised told me i would have my broadband and phone line put in on st december and get to keep same number they came to install everything but only put the router which was out in the wrong place phone line wasnt connected until th of jan so lost phone line for three weeks agreed at pm but ended up taking in the first month when complained about this i was told they are going to put it back to as a good will gesture then still charged me the next month my broadband never works forget fibre optic it always disconnects every day i have manually log back in turn off the router was anything refunded back to me no i have just been on the phone for minutes and the manager from customer service hung up on me what are you guys running im i will be trying my best to take this matter as high as possible i really do hope every one reads this review and turns away from virgin media the worst provider ever dont waste your money or time with these cowboys i am disgraced with the rubbish customer service its not fit for use i would recommend for no one to use virgin media absolute shambles,Bad,1.0
8,trying to change a virgin mobile number from one account to another appears to be service team need sacking,Bad,1.0
9,i recently wrote a review service hopefully a positive result thank was dependent on talk talk keeping their promise sadly they didnt,Bad,1.0
10,i think we do have tv telephone and internet i have no idea where to take the phone number for the packet of the virgin media please let me know,Bad,1.0
11,i have been a customer for over seven years no one can touch their broadband speed in my area but their customer service does not even rate one is often very difficult to understand their customer service staff as their english is not good enough for customer servicethe wait times are typically ten minutes or tell you different things each time you speak to never do what they say and it often takes several calls to resolve a often get cut can never get to speak to a manager and they promise they will call you back but never doi know rate virgin media even worse than hmrc,Bad,1.0
12,the change to bt was a complete fiasco from day i had to call them times as they kept sending sms messages asking for more information then told me they didnt need any they put two dds on my bank account with different dates then to add insult to injury they change my phone number which is a care line when i asked them to change it back i was told it would take days and they couldnt put a divert on for us apparently thats not bt an year man who has had a stroke is without his care line for over company,Bad,1.0
13,i tried over several days to chat to a real person using vodafone chat but either the codes dont come through or im told they are too busy rubbish service for a communication company,Bad,1.0
14,ive had a monthly contract with o now for over a year and had nothing but problems all the way through i have found that once you have signed that contract they dont give a crap about you and the problems you have with their rubbish service they seem to concentrate on getting new customers luring them in with special deals and offers for once o why dont you give your valued customers the offers and special deals for a change we deserve it for putting up with a poor service when my contract runs down i certainly wont be renewing it ee here i come,Bad,1.0
15,almost a month waiting for the broadband to be installed called countless times and all of their staff are absolute rubbish i have complained countless times and wasted hours on the phone for nothing i only wish i had read these reviews before joining a contract with these clowns seriously stay away from bt they are a joke,Bad,1.0
16,the reviews say it all i am patiently waiting for my two contracts to expire in march and then its off to a better provider ive been with these guys for some years now and whereas i always pay on time and keep my end of the contract vodafone has relentlessly failed to meet its own obligations on every am dreading the switch over to the new provider because i know that vodafone will do everything in its power to complicate the process my fallback will be to switch to a brand new mobile number and let my contact list knowi think vodafone took on a member of the trump family as a strategic customer liaison advisor and all of our complaints and requests for help are just fake news,Bad,1.0
17,i was with vodafone for a year signal has been pretty poor but okay at best however my contract ends on boxing day and i currently have taken another contract out with ee already so much better so i tried to phone a month ago to cancel the vodafone contract to give them a months notice but their systems were down i tried to phone a couple of hours later like they advised and the systems were still down i then tried to phone a few days later and they couldnt hear me a month later im still trying to cancel i phoned today as a last attempt and the systems are conveniently down again and they advised me to call back in a few hours i then tried to log a complaint i couldnt phone because the systems are down and the only other options are live chat or writing a letter of course the systems for live chat are down as well so i couldnt even achieve that writing a letter is useless as i will then owe vodafone another months on top of the extra month i will have to pay this may not sound like a lot but to a student paying two phone contracts on top of rent food life and the other perks that fourth year provides it really is no idea if or how i will eventually manage to cancel my contract i live near no vodafone stores so thanks vodafone and merry christmas,Bad,1.0
18,everything went wrong service is appalling and my only wish is that sky could offer fibre where i live so i could change,Bad,1.0
