,CleanedText,Type
0,absolutely ridiculous how many times you can put up prices for such bad quality internet speeds will be leaving as soon as possible,Bad
1,truly disgusted i never checked trust pilot before placing my order as i thought ya know its bt some good some bad and some average but my experience has been the same nothing but lies lies on twitter and lies on their live chat by people named raj etc i was given an activation date of the th of october mins left of my time slot im told there are no fibre ports told its now th of october their live chat agents are useless and just lie to you stay away from bt unless you love to hear lies and excuses,Bad
2,i get fibre out in my area about mbps download speed on a good day out in the country the problem is we get an upload speed less than mbps due to some fault which causes the internet to seize up whenever an upload is taking place just sending a picture for example bt engineers have been out multiple times over the years and none of them seems to know what the problem is or anything to do about it one technician even made a rude remark telling me to not use the internet so often so nothing gets done i cant even report the fault again as there is a pending fault still been investigated which doesnt allow me to declare a fault the website tells me they are looking into it and an engineer will be in contact i also go a text saying an engineer would be in contact about the fault and heard nothing the number is just an automated call so now run out of options,Bad
3,cant wait to change have been with virgin since day how do they look after you sub standard tv and broadband for a month finding we now watch the free channels and netflix so when this contract is up best not cancel now or ill get ripped off again ill be changing to one of the new services in the area,Bad
4,on exhaustive numbers of calls iv been off to am trying to port my number over to vodafone from it not been moved service says cannot help me as am a pay as you go customer it looks like iv lost the number,Bad
5,vodafone sells mobile phone is it so hard to use your own product to contact you i have never with the exception of a bargain orange coloured airline had a company that makes it nearly impossible to talk to someone directly when they constantly force you over to their online automated assistant that doesnt provide any assistance terrible service vodafone,Bad
6,copy of letter to think you need new financial last dd was paid on and i did not order faster broadband at as there were two packages between my current package and but your sales team assumed i would be happy with this was also sent letters offering the package and an email offering months at half premium then continue at the package on calling numerous times to your call centre i was informed that the package had been withdrawn the left hand does not know what the right hand is doing i then made payments of on and on to cover the payment the only reason i paid the was to prevent my internet service being you want a further to cover period as my switch was by my calculations i am due you payment from i think ofcom and will be very interested in your billing admin charge is a piece of nonsense for making more am interested in your clarification and explanation of above charges as will ofcom and am now with which is a far superior service for internet speed and customer you cant deliver on these two functions i suggest you get out of this business as you are pathetic john withey,Bad
7,really unhappy following the installation of my router no notice given despite being advised that i would get a call minutes before guy disappeared after installation despite telling me he would be in tidy up and take photos router was installed under my bed and is so hot to touch that i turned it off,Bad
8,lying agents names to name and shame anthony fernando liz candice and sales team manager ashley english chap surprisingly avoid avoid avoid im surprised this company has not ended court talktalk is full of lies its agents are rubbish they never tell you the truth my father signed up to fibre and was never told his landline for years would be permanently disconnected and telephone number lost we submitted a cancellation request within the day cooling off period and these lazy useless rubbish agents never submitted the cancellation despite hour daily and transcripts confirming its been done i hate hate hate talktalk they your life a living hell if you sign up to them no one calls you back despite escalating agents are thick this company needs down pure fraud,Bad
9,i have had issues for ages with virgin was duped into renewing last year never again i will be cancelling my contract with them in july will not be renewing for another months of being robbed and lied to actually had to pay to get sky fibre installed as virgin has been so unreliable actually paying for two broadband services right now over them,Bad
10,i ordered a upgrade on saturday january and was promised the phone would be ready to collect in store on the th january received a email saying the order is not quite ready but we can go in store and they will prepare it while we wait on getting to the store we were told that they were out of stock and they would now have to order a new phone in we work monday to friday so cannot go into store on weekdays i was told that the order could not be changed to be delivered to my house and that i would have to cancel the upgrade saturday night and sunday morning waisted i wanted to take out a second contract for my husband as its his birthday so asked which stores the phone had in store and was told leicester fosse park had the phone in stock so we drove all the way to leicester took out a new contract for my husband only to come home and find out we were given the incorrect device now we not only have the incorrect device but have to go all the way back to the store which isnt open after we finish work to exchange the phone for the correct model and i am spending my sunday night making a complaint instead of relaxing before a long week in work my entire weekend has now been ruined and instead of sitting with two new p pros we are sitting empty handed having wasted our whole weekend and now will continue to lose money having to travel back and to from stores and just want to cry,Bad
